just thinking about concept made mistake here;worry
 registered but lost all friends;sadness
 and lonely you buggers are making feel like mates;worry
 good massage for you girl 100% real photo;love
 piers shouldn't have buzzed when the little girls were singing;hate
 bless stomach sank when she first but good her for trying carry that's nice simon take;happiness
 were but not good;neutral
 it's shame that the won't get through;worry
 not the best song for her;neutral
 quite awkward poor girl hope she doesn't loose;worry
 should little perform tomorrow night's poor little looked brave and fantastic voice but scared;neutral
 what happened that was rubbish follow;hate
 will take being paraded stage again for potential;worry
 stupid net went been without for whole day;worry
 seem falling must mean they're skating extra hard;neutral
 have again bugging again its getting very;boredom
 concert next week cancelled date not known dave had;sadness
 the bath don't quite work especially you have only polar seal;neutral
 few hours guess who the living room;neutral
 soon good luck and fix look sharp;fun
 happens every few woke unhappy the news that was still due afternoon nap;worry
 she vegas buddy lover but love her even though i'm all the way chicago;happiness
 sorry for not getting around everyone phone acting;worry
 ordered some the 8th and they still haven't weeks and still books;sadness
 weekend channel i'm happy man;happinesWs
 not enough rescue kitchen shall come back later can the lawn while still cool outside;worry
 follow these they are interesting much though;neutral
 although she consider sweetheart;worry
 never been added anyone's either he's got cool picture;neutral
 honor web buddies who;fun
 the shower and lucky escape with just couple;sadness
 free trial ran out cannot subscribe because accidentally canceled card still waiting for new one;sadness
 stars wars day outside though well makes have bit more motivation revise;happiness
 all the out there;love
 the curse strikes date the and end screwed poor sod;sadness
 when everyone but the one want text;hate
 the girls the year above school;neutral
 sorry his wife also for was lovely lady and was did not deserve;worry
 not working can't photos;worry
 summer hours say our day ends mean really get leave;sadness
 your the only love really have several;sadness
 guy calls her phone see the number real phone isn't working try tomorrow;worry
 hope you've listened some these they are funny still haven't heard about ticks;neutral
 has opted may 12th what really happened;worry
 too loving always let negative people into life;sadness
 not fan either head says feet say the heart doesn't care;enthusiasm
 politics are not watching hockey;empty
 5.6 running via now get running;happiness
 weeks tomorrow since giving want talk about;relief
 it's our mission make topic for the lots people board for;fun
 for may watch after;fun
 thanks for joining follow more sanctuary people keep date the;neutral
 awesome news about the leo for looks like they got out the they were not;happiness
 don't forget post the forums and about our mission;neutral
 character has cause she's awesome;happiness
 you are the result broken;sadness
 told she never ever again live dad think all confusing;anger
 you need learn wash dishes and laundry because won't always here them for she was right;relief
 are only car parks without;neutral
 cleaning the apartment again who keeps making this yeah $10 hug for the person help come clean;boredom
 believe thing called love the check;enthusiasm
 gets tough with slum backed sewage;worry
 dropped off bottles today for doing bank;neutral
 would one the want add this event our would much appreciate that;neutral
 good metaphor democratic truth better not transparency but the private;neutral
 modern 1/2 bible christ without the abstraction;surprise
 one tree they cancelled shows the game everybody chris;hate
 nose stud fell out and can't find looks like i'll have head into amsterdam today and get new one;worry
